Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","154","North Macedonia","5510","Production","195","Cow peas, dry","2019","2019","tonnes","7626","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","299","Palestine","5510","Production","195","Cow peas, dry","2019","2019","tonnes","174","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","170","Peru","5510","Production","195","Cow peas, dry","2019","2019","tonnes","21539","","Official data"
"QCL","Crops and livestock products","171","Philippines","5510","Production","195","Cow peas, dry","2019","2019","tonnes","479","","Official data"
"QCL","Crops and livestock products","185","Russian Federation","5510","Production","195","Cow peas, dry","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","195","Senegal","5510","Production","195","Cow peas, dry","2019","2019","tonnes","184137","","Official data"
"QCL","Crops and livestock products","272","Serbia","5510","Production","195","Cow peas, dry","2019","2019","tonnes","15862","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","202","South Africa","5510","Production","195","Cow peas, dry","2019","2019","tonnes","4801","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","277","South Sudan","5510","Production","195","Cow peas, dry","2019","2019","tonnes","","M","Data not available"
"QCL","Crops and livestock products","38","Sri Lanka","5510","Production","195","Cow peas, dry","2019","2019","tonnes","8067","","Official data"
"QCL","Crops and livestock products","276","Sudan","5510","Production","195","Cow peas, dry","2019","2019","tonnes","161000","","Official data"
"QCL","Crops and livestock products","220","Trinidad and Tobago","5510","Production","195","Cow peas, dry","2019","2019","tonnes","537","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","226","Uganda","5510","Production","195","Cow peas, dry","2019","2019","tonnes","12697","Im","FAO data based on imputation methodology"
"QCL","Crops and livestock products","215","United Republic of Tanzania","5510","Production","195","Cow peas, dry","2019","2019","tonnes","127884","","Official data"
"QCL","Crops and livestock products","231","United States of America","5510","Production","195","Cow peas, dry","2019","2019","tonnes","11750","","Official data"
"QCL","Crops and livestock products","249","Yemen","5510","Production","195","Cow peas, dry","2019","2019","tonnes","66190","","Official data"
"QCL","Crops and livestock products","181","Zimbabwe","5510","Production","195","Cow peas, dry","2019","2019","tonnes","","M","Data not available"
